model,method,guesser_model,board_seed,board_style,trial,count_constraint,status,stage,outcome,loss_reason,game_length,targets_found,target_recovery_rate,assassin_hit,opponent_words_revealed,codemaster_attempts,codemaster_rejected,codemaster_compliance_rate,codemaster_call_failures,guesser_attempts,guesser_rejected,guesser_compliance_rate,guesser_call_failures,started_at,duration_s,terminal_error,error
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,free,ok,,loss,assassin,4,3,0.3333333333333333,True,2,4,0,1.0,0,7,0,1.0,0,2026-08-23T18:29:43.639997+00:00,42.026,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,min2,ok,,win,,7,9,1.0,False,2,7,0,1.0,0,15,0,1.0,0,2026-08-23T18:30:25.665832+00:00,83.991,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,min3,ok,,loss,assassin,4,4,0.4444444444444444,True,2,4,0,1.0,0,8,0,1.0,0,2026-08-23T18:32:25.954112+00:00,46.229,,
google/gemini-2.5-flash,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,free,ok,,loss,assassin,6,7,0.7777777777777778,True,2,6,0,1.0,0,13,0,1.0,0,2026-08-23T18:33:45.326520+00:00,78.87,,
google/gemini-2.5-flash,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,min2,ok,,loss,assassin,1,1,0.1111111111111111,True,0,1,0,1.0,0,2,0,1.0,0,2026-08-23T18:34:45.365101+00:00,12.529,,
google/gemini-2.5-flash,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,min3,ok,,win,,7,9,1.0,False,4,7,0,1.0,0,15,0,1.0,0,2026-08-23T18:36:41.685387+00:00,93.846,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,free,ok,,loss,assassin,8,8,0.8888888888888888,True,2,8,0,1.0,0,15,0,1.0,0,2026-08-23T18:29:43.640236+00:00,101.259,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,min2,ok,,loss,assassin,9,8,0.8888888888888888,True,4,9,0,1.0,0,17,0,1.0,0,2026-08-23T18:31:09.582359+00:00,105.483,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,min3,ok,,loss,assassin,9,8,0.8888888888888888,True,5,10,1,0.9,0,17,0,1.0,0,2026-08-23T18:32:55.065242+00:00,105.531,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,free,ok,,loss,assassin,1,0,0.0,True,0,1,0,1.0,0,1,0,1.0,0,2026-08-23T18:34:30.648397+00:00,13.255,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,min2,ok,,loss,assassin,5,7,0.7777777777777778,True,3,5,0,1.0,0,13,1,0.9230769230769231,0,2026-08-23T18:34:57.894689+00:00,103.79,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,min3,ok,,loss,assassin,4,3,0.3333333333333333,True,2,5,1,0.8,0,7,0,1.0,0,2026-08-23T18:36:43.784574+00:00,90.848,,
openai/gpt-4o-mini,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,free,ok,,win,,7,9,1.0,False,2,7,0,1.0,0,15,0,1.0,0,2026-08-23T18:29:43.640684+00:00,85.942,,
openai/gpt-4o-mini,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,min2,ok,,win,,13,9,1.0,False,6,15,2,0.8666666666666667,0,21,0,1.0,0,2026-08-23T18:31:24.899791+00:00,140.427,,
openai/gpt-4o-mini,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,min3,ok,,win,,10,9,1.0,False,5,10,0,1.0,0,18,0,1.0,0,2026-08-23T18:32:58.034099+00:00,107.331,,
openai/gpt-4o-mini,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,free,ok,,win,,7,9,1.0,False,3,7,0,1.0,0,15,0,1.0,0,2026-08-23T18:34:40.596430+00:00,98.018,,
openai/gpt-4o-mini,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,min2,ok,,loss,assassin,7,7,0.7777777777777778,True,2,9,2,0.7777777777777778,0,14,0,1.0,0,2026-08-23T18:35:04.196857+00:00,99.588,,
openai/gpt-4o-mini,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,min3,ok,,win,,8,9,1.0,False,4,8,0,1.0,0,16,0,1.0,0,2026-08-23T18:36:49.239790+00:00,107.787,,
qwen/qwen3.5-9b,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,free,ok,,win,,12,9,1.0,False,4,19,7,0.631578947368421,0,20,0,1.0,0,2026-08-23T18:29:43.640844+00:00,162.313,,
qwen/qwen3.5-9b,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,min2,ok,,loss,assassin,5,1,0.1111111111111111,True,2,9,4,0.5555555555555556,0,6,0,1.0,0,2026-08-23T18:31:49.657158+00:00,68.377,,
qwen/qwen3.5-9b,strong_hebrew,google/gemini-2.5-flash,0,dual_50,0,min3,ok,,loss,assassin,6,6,0.6666666666666666,True,3,7,1,0.8571428571428571,0,12,0,1.0,0,2026-08-23T18:33:12.183046+00:00,78.465,,
qwen/qwen3.5-9b,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,free,ok,,loss,assassin,2,2,0.2222222222222222,True,0,8,6,0.25,0,4,0,1.0,0,2026-08-23T18:34:43.903379+00:00,125.336,,
qwen/qwen3.5-9b,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,min2,ok,,loss,assassin,2,3,0.3333333333333333,True,0,2,0,1.0,0,5,0,1.0,0,2026-08-23T18:36:18.614215+00:00,34.606,,
qwen/qwen3.5-9b,translate_pipeline,google/gemini-2.5-flash,0,dual_50,0,min3,ok,,win,,8,9,1.0,False,4,18,10,0.4444444444444444,0,16,0,1.0,0,2026-08-23T18:36:53.220114+00:00,217.084,,
