מילה,
מעמד,d
מטה,d
קש,d
לב,s
בול,d
קשה,s
בוחן,s
אלף,d
חיבור,r
חול,d
חמה,r
ביצה,d
צדק,d
מראה,s
מלח,d
תור,r
שורש,r
מרוצים,d
פרסה,r
כתב,s
קשת,s
עין,d
שבת,s
סוף,d
זקן,d
קל,d
מזל,r
דג,s
ירח,d
אזור,s
חיים,s
שמן,s
מלון,d
לבוש,s
קרצייה,s
גזר,d
חגים,d
נס,d
עלייה,s
אחר,d
מנוע,d
גשר,r
פה,d
חור,r
לפיד,s
רוח,r
אוכל,d
מעבר,d
כפתור,s
נעל,d
טייס,s
קשר,s
מפתח,d
גל,s
קלע,d
פחד,s
גנב,s
גאון,s
קרן,d
פצצה,s
עוקץ,s
מסחרית,s
מצח,r
באר,r
אלוף,d
אולם,d
מעגל,s
זרוע,d
רכב,d
עצם,d
בסיס,d
צופים,s
משפט,d
אמן,d
שדה,d
פנים,d
אוצר,d
שיח,d
דבק,s
שוט,r
מורה,s
כסף,d
משקף,s
קניון,d
דרך,s
משחק,s
פרק,s
חריף,s
מטר,d
שפה,d
חולצה,d
שוטר,r
אייל,s
קפה,r
תנועה,r
רב,d
תל-אביב,r
גר,d
אלה,d
מחשב,s
אב,d
מאבק,d
סרט,d
הגירה,r
חבל,d
אנגליה,s
ספק,d
חוק,r
סוכה,r
אוויר,r
בן,s
בוקר,d
כבד,d
גב,d
חלק,d
פרח,s
חיות,s
יורה,s
הודו,d
נייר,r
ים,s
חלל,s
תפר,s
ערב,d
דוד,d
ציפורן,s
שר,d
אחות,d
אי,r
בונה,d
טעם,s
מעיין,r
מדליק,s
מצרים,d
כינור,r
אשף,r
חצב,d
בירה,d
מקדש,s
מרכז,s
זריקה,d
ענק,s
סדר,s
מפה,d
בעל,r
מטען,d
סמל,d
אורח,d
קול,r
רצפה,s
חג,d
דלק,d
עמוד,d
חייל,s
חייזר,r
מלכה,r
יחידה,s
אחוז,d
זוהר,s
אח,d
אלים,d
קצב,d
תפוח,d
הלך,r
אטום,d
פנדה,r
נהג,d
שחקן,d
לשון,s
מקל,d
חתיכה,r
חבר,r
בר,d
לבנה,d
חווה,d
עבר,r
חפץ,d
אוגר,d
אות,r
אופן,d
מקור,d
ספר,d
מדבר,d
בטח,s
דבר,d
מוצא,d
שרת,d
תיק,r
נשימה,r
חוליה,r
