model,method,guesser_model,board_seed,board_style,trial,status,stage,outcome,game_length,targets_found,target_recovery_rate,assassin_hit,codemaster_attempts,codemaster_rejected,codemaster_compliance_rate,codemaster_call_failures,guesser_attempts,guesser_rejected,guesser_compliance_rate,guesser_call_failures,started_at,duration_s,terminal_error,error
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_0,0,ok,,loss,4,3,0.3333333333333333,True,4,0,1.0,0,7,0,1.0,0,2026-08-17T01:23:56.035796+00:00,62.68,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_0,0,ok,,win,8,9,1.0,False,8,0,1.0,0,15,0,1.0,0,2026-08-17T01:26:40.758751+00:00,126.56,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_0,0,ok,,win,11,9,1.0,False,13,2,0.8461538461538461,0,19,0,1.0,0,2026-08-17T01:30:24.314576+00:00,169.061,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_0,0,ok,,win,9,9,1.0,False,9,0,1.0,0,17,0,1.0,0,2026-08-17T01:33:22.291776+00:00,148.981,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_0,0,ok,,win,9,9,1.0,False,9,0,1.0,0,17,0,1.0,0,2026-08-17T01:37:26.474109+00:00,148.494,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,5,dual_0,0,ok,,loss,10,8,0.8888888888888888,True,10,0,1.0,0,18,0,1.0,0,2026-08-17T01:40:13.763861+00:00,158.626,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,6,dual_0,0,ok,,win,13,9,1.0,False,13,0,1.0,0,21,0,1.0,0,2026-08-17T01:42:51.999537+00:00,189.396,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,7,dual_0,0,ok,,loss,6,5,0.5555555555555556,True,7,1,0.8571428571428571,0,11,0,1.0,0,2026-08-17T01:46:01.395475+00:00,92.9,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,8,dual_0,0,ok,,win,8,9,1.0,False,11,3,0.7272727272727273,0,16,0,1.0,0,2026-08-17T01:48:40.535172+00:00,140.621,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,9,dual_0,0,ok,,win,7,9,1.0,False,7,0,1.0,0,15,0,1.0,0,2026-08-17T01:51:07.350279+00:00,120.588,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_100,0,ok,,win,15,9,1.0,False,16,1,0.9375,0,23,0,1.0,0,2026-08-17T02:48:18.858492+00:00,208.844,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_100,0,ok,,win,12,9,1.0,False,12,0,1.0,0,20,0,1.0,0,2026-08-17T02:52:43.077428+00:00,179.012,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_100,0,ok,,win,8,9,1.0,False,8,0,1.0,0,16,0,1.0,0,2026-08-17T02:55:42.088684+00:00,132.647,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_100,0,ok,,loss,2,1,0.1111111111111111,True,6,4,0.3333333333333333,0,3,0,1.0,0,2026-08-17T02:58:40.997806+00:00,31.375,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_100,0,ok,,win,8,9,1.0,False,8,0,1.0,0,16,0,1.0,0,2026-08-17T03:01:39.882195+00:00,137.579,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,5,dual_100,0,ok,,loss,6,8,0.8888888888888888,True,6,0,1.0,0,14,0,1.0,0,2026-08-17T03:06:18.497912+00:00,130.727,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,6,dual_100,0,ok,,loss,5,7,0.7777777777777778,True,6,1,0.8333333333333334,0,12,0,1.0,0,2026-08-17T03:08:29.224517+00:00,99.872,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,7,dual_100,0,ok,,loss,5,5,0.5555555555555556,True,5,0,1.0,0,10,0,1.0,0,2026-08-17T03:11:49.432339+00:00,90.228,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,8,dual_100,0,ok,,win,8,9,1.0,False,9,1,0.8888888888888888,0,16,0,1.0,0,2026-08-17T03:14:40.015451+00:00,132.095,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,9,dual_100,0,ok,,loss,4,1,0.1111111111111111,True,6,2,0.6666666666666666,0,5,0,1.0,0,2026-08-17T03:16:27.211385+00:00,52.924,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_50,0,ok,,loss,1,1,0.1111111111111111,True,1,0,1.0,0,2,0,1.0,0,2026-08-17T01:52:49.527233+00:00,16.458,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_50,0,ok,,loss,4,2,0.2222222222222222,True,5,1,0.8,0,6,0,1.0,0,2026-08-17T01:53:42.774430+00:00,55.172,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_50,0,ok,,loss,3,4,0.4444444444444444,True,3,0,1.0,0,7,0,1.0,0,2026-08-17T01:57:16.079844+00:00,58.328,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_50,0,ok,,loss,1,1,0.1111111111111111,True,1,0,1.0,0,2,0,1.0,0,2026-08-17T01:59:52.763230+00:00,17.634,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_50,0,ok,,win,8,9,1.0,False,10,2,0.8,0,16,0,1.0,0,2026-08-17T02:02:39.817101+00:00,144.746,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,5,dual_50,0,ok,,win,10,9,1.0,False,12,2,0.8333333333333334,0,18,0,1.0,0,2026-08-17T02:07:07.822187+00:00,171.215,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,6,dual_50,0,ok,,win,8,9,1.0,False,8,0,1.0,0,16,0,1.0,0,2026-08-17T02:09:52.935871+00:00,159.302,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,7,dual_50,0,ok,,win,12,9,1.0,False,13,1,0.9230769230769231,0,19,0,1.0,0,2026-08-17T02:14:28.440207+00:00,183.22,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,8,dual_50,0,ok,,loss,5,6,0.6666666666666666,True,5,0,1.0,0,11,0,1.0,0,2026-08-17T02:17:35.963148+00:00,101.413,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,9,dual_50,0,ok,,win,9,9,1.0,False,9,0,1.0,0,17,0,1.0,0,2026-08-17T02:19:16.404778+00:00,153.85,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_80,0,ok,,win,9,9,1.0,False,10,1,0.9,0,17,0,1.0,0,2026-08-17T02:21:50.254487+00:00,151.147,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_80,0,ok,,loss,3,2,0.2222222222222222,True,3,0,1.0,0,5,0,1.0,0,2026-08-17T02:24:21.401540+00:00,45.321,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_80,0,ok,,win,5,9,1.0,False,5,0,1.0,0,11,0,1.0,0,2026-08-17T02:25:54.421167+00:00,92.493,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_80,0,ok,,win,11,9,1.0,False,13,2,0.8461538461538461,0,19,0,1.0,0,2026-08-17T02:29:12.524913+00:00,170.981,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_80,0,ok,,loss,9,7,0.7777777777777778,True,9,0,1.0,0,16,0,1.0,0,2026-08-17T02:31:17.177505+00:00,135.269,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,5,dual_80,0,ok,,loss,4,3,0.3333333333333333,True,4,0,1.0,0,7,0,1.0,0,2026-08-17T02:33:46.829747+00:00,63.552,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,6,dual_80,0,ok,,win,9,9,1.0,False,9,0,1.0,0,17,0,1.0,0,2026-08-17T02:36:21.925894+00:00,145.94,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,7,dual_80,0,ok,,win,7,9,1.0,False,8,1,0.875,0,15,0,1.0,0,2026-08-17T02:38:26.151282+00:00,134.512,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,8,dual_80,0,ok,,win,7,9,1.0,False,7,0,1.0,0,15,0,1.0,0,2026-08-17T02:41:53.628837+00:00,125.44,,
google/gemini-2.5-flash,strong_hebrew,anthropic/claude-haiku-4.5,9,dual_80,0,ok,,loss,7,3,0.3333333333333333,True,7,0,1.0,0,10,0,1.0,0,2026-08-17T02:44:05.686377+00:00,95.557,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,0,dual_0,0,ok,,win,7,9,1.0,False,7,0,1.0,0,15,0,1.0,0,2026-08-17T03:19:00.438254+00:00,129.801,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,1,dual_0,0,ok,,win,8,9,1.0,False,9,1,0.8888888888888888,0,16,0,1.0,0,2026-08-17T03:22:22.266285+00:00,151.29,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,2,dual_0,0,ok,,win,9,9,1.0,False,13,4,0.6923076923076923,0,16,0,1.0,0,2026-08-17T03:27:44.687164+00:00,155.441,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,3,dual_0,0,ok,,win,9,9,1.0,False,10,1,0.9,0,17,0,1.0,0,2026-08-17T03:30:20.128252+00:00,155.372,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,4,dual_0,0,ok,,win,8,9,1.0,False,9,1,0.8888888888888888,0,16,0,1.0,0,2026-08-17T03:34:03.139101+00:00,148.384,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,5,dual_0,0,ok,,win,9,9,1.0,False,9,0,1.0,0,17,0,1.0,0,2026-08-17T03:39:28.413804+00:00,154.979,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,6,dual_0,0,ok,,win,9,9,1.0,False,10,1,0.9,0,17,0,1.0,0,2026-08-17T03:43:14.585026+00:00,156.46,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,7,dual_0,0,ok,,loss,7,7,0.7777777777777778,True,9,2,0.7777777777777778,0,14,0,1.0,0,2026-08-17T03:48:07.567420+00:00,127.917,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,8,dual_0,0,ok,,win,6,9,1.0,False,7,1,0.8571428571428571,0,14,0,1.0,0,2026-08-17T03:56:37.179785+00:00,120.936,,
google/gemini-2.5-flash,translate_pipeline,anthropic/claude-haiku-4.5,9,dual_0,0,ok,,win,8,9,1.0,False,10,2,0.8,0,16,0,1.0,0,2026-08-17T03:58:38.114453+00:00,148.462,,
