stratum,level,model,guesser_model,games,length_mean,length_median,length_min,length_sd,loss_rate,length_mean_wins,opponent_mean,opponent_sd,civilian_mean,civilian_sd,rounds,clue_count_mean,clue_count_sd,guesses_mean,guesses_sd,stop_early_rate,n_early_eligible,stop_late_rate,n_late_eligible
all,all,google/gemini-2.5-flash,google/gemini-2.5-flash,705,6.829787234042553,7.0,1,2.6755347989417295,0.38156028368794326,8.188073394495413,2.350354609929078,1.6212642423094894,1.9787234042553192,1.4285446598763096,4815,2.041121495327103,0.505034467992694,1.757840083073728,0.543427996808982,0.03247513165593915,3418,0.03205791106514995,967
all,all,google/gemini-2.5-flash,openai/gpt-4o-mini,13,7.230769230769231,8.0,2,3.585941209637207,0.5384615384615384,10.0,3.076923076923077,2.139374459257443,2.769230769230769,1.589226549501683,94,2.0,0.3279129178919766,1.7553191489361701,0.6829123310406982,0.0,57,1.0,11
all,all,openai/gpt-4o-mini,google/gemini-2.5-flash,12,6.916666666666667,6.5,2,3.2601821849074444,0.75,10.666666666666666,2.25,1.815338686155987,1.9166666666666667,1.6764862244009227,83,1.9879518072289157,0.24663471080925004,1.6385542168674698,0.4833398353280309,0.03773584905660377,53,0.0,19
all,all,openai/gpt-4o-mini,openai/gpt-4o-mini,710,7.152112676056338,7.0,1,3.343851446739893,0.5802816901408451,8.953020134228188,3.1732394366197183,1.9779074399571293,2.6422535211267606,1.7523437435962772,5078,2.054155179204411,0.5110763157645928,1.8166601024025206,0.7490142632963541,0.000643293663557414,3109,0.9582338902147971,838
method,strong_hebrew,google/gemini-2.5-flash,google/gemini-2.5-flash,351,7.022792022792022,7.0,1,2.8202419672369876,0.396011396011396,8.504716981132075,2.4472934472934473,1.697708479749713,1.9914529914529915,1.482251529622957,2465,1.949290060851927,0.380458784910562,1.7079107505070994,0.5158587832334421,0.018946121965660152,1689,0.03717472118959108,538
method,strong_hebrew,google/gemini-2.5-flash,openai/gpt-4o-mini,13,7.230769230769231,8.0,2,3.585941209637207,0.5384615384615384,10.0,3.076923076923077,2.139374459257443,2.769230769230769,1.589226549501683,94,2.0,0.3279129178919766,1.7553191489361701,0.6829123310406982,0.0,57,1.0,11
method,strong_hebrew,openai/gpt-4o-mini,google/gemini-2.5-flash,12,6.916666666666667,6.5,2,3.2601821849074444,0.75,10.666666666666666,2.25,1.815338686155987,1.9166666666666667,1.6764862244009227,83,1.9879518072289157,0.24663471080925004,1.6385542168674698,0.4833398353280309,0.03773584905660377,53,0.0,19
method,strong_hebrew,openai/gpt-4o-mini,openai/gpt-4o-mini,359,7.281337047353761,7.0,1,3.4497935158908968,0.6211699164345403,9.213235294117647,3.247910863509749,2.0393721875633184,2.6852367688022283,1.8042715880202227,2614,1.980107115531752,0.353737666612673,1.777352716143841,0.7542250633280532,0.0,1509,0.9728601252609603,479
method,translate_pipeline,google/gemini-2.5-flash,google/gemini-2.5-flash,354,6.638418079096045,7.0,1,2.5132608718523106,0.3672316384180791,7.888392857142857,2.2542372881355934,1.5381076671220002,1.9661016949152543,1.375208683972378,2350,2.137446808510638,0.5939257882909678,1.8102127659574467,0.566315304492652,0.04569115095430885,1729,0.02564102564102564,429
method,translate_pipeline,openai/gpt-4o-mini,openai/gpt-4o-mini,351,7.01994301994302,7.0,1,3.2314792715501492,0.5384615384615384,8.734567901234568,3.096866096866097,1.9128935096239887,2.5982905982905984,1.69904088436386,2464,2.132711038961039,0.6274294205202401,1.8583603896103895,0.7413235510752484,0.00125,1600,0.9387186629526463,359
board_style,dual_0,google/gemini-2.5-flash,google/gemini-2.5-flash,235,6.553191489361702,7.0,1,2.5403454795524985,0.39574468085106385,7.880281690140845,2.25531914893617,1.561668036372753,1.8936170212765957,1.3145153237833231,1540,2.0545454545454547,0.5282273750251064,1.7876623376623377,0.5535434817924851,0.03297682709447415,1122,0.05245901639344262,305
board_style,dual_0,google/gemini-2.5-flash,openai/gpt-4o-mini,13,7.230769230769231,8.0,2,3.585941209637207,0.5384615384615384,10.0,3.076923076923077,2.139374459257443,2.769230769230769,1.589226549501683,94,2.0,0.3279129178919766,1.7553191489361701,0.6829123310406982,0.0,57,1.0,11
board_style,dual_0,openai/gpt-4o-mini,google/gemini-2.5-flash,12,6.916666666666667,6.5,2,3.2601821849074444,0.75,10.666666666666666,2.25,1.815338686155987,1.9166666666666667,1.6764862244009227,83,1.9879518072289157,0.24663471080925004,1.6385542168674698,0.4833398353280309,0.03773584905660377,53,0.0,19
board_style,dual_0,openai/gpt-4o-mini,openai/gpt-4o-mini,237,6.936708860759493,7.0,1,3.2128256168892526,0.5611814345991561,9.038461538461538,3.071729957805907,1.9087006303398497,2.5527426160337554,1.7006861991206872,1644,2.0431873479318736,0.5127312199324208,1.8290754257907542,0.7470657531907798,0.0009813542688910696,1019,0.9496402877697842,278
board_style,natural,google/gemini-2.5-flash,google/gemini-2.5-flash,238,6.966386554621849,7.0,1,2.625524735527142,0.3487394957983193,8.23225806451613,2.407563025210084,1.6932060650468637,2.004201680672269,1.3578895860597993,1658,2.0193003618817853,0.4772320036277241,1.7575392038600723,0.5225920494822953,0.03589315525876461,1198,0.02702702702702703,333
board_style,natural,openai/gpt-4o-mini,openai/gpt-4o-mini,239,7.075313807531381,7.0,1,3.114512217136241,0.5690376569037657,8.466019417475728,3.0543933054393304,1.8812351644120782,2.6317991631799162,1.6873208916586873,1691,2.047309284447073,0.49387686056238306,1.8367829686575992,0.7469670823405092,0.0,1057,0.9621993127147767,291
board_style,dual_100,google/gemini-2.5-flash,google/gemini-2.5-flash,232,6.969827586206897,7.0,1,2.844291612219044,0.40086206896551724,8.453237410071942,2.3879310344827585,1.6077278297161952,2.038793103448276,1.6017453441432872,1617,2.0507111935683366,0.5097087610767929,1.7297464440321584,0.55339814103525,0.028233151183970857,1098,0.0182370820668693,329
board_style,dual_100,openai/gpt-4o-mini,openai/gpt-4o-mini,234,7.448717948717949,7.0,1,3.676794540327139,0.6111111111111112,9.406593406593407,3.3974358974358974,2.1269156591635485,2.7435897435897436,1.8675169815722903,1743,2.0711417096959264,0.5255681022275324,1.7854274239816408,0.7522449587326281,0.000968054211035818,1033,0.9628252788104089,269
