model,method,guesser_model,board_seed,board_style,trial,status,stage,outcome,game_length,targets_found,target_recovery_rate,assassin_hit,codemaster_attempts,codemaster_rejected,codemaster_compliance_rate,codemaster_call_failures,guesser_attempts,guesser_rejected,guesser_compliance_rate,guesser_call_failures,started_at,duration_s,terminal_error,error
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,0,dual_0,0,ok,,loss,6,8,0.8888888888888888,True,6,0,1.0,0,14,0,1.0,0,2026-08-19T20:51:57.114164+00:00,75.042,,
google/gemini-2.5-flash,strong_hebrew,meta-llama/llama-3.3-70b-instruct,0,dual_0,0,ok,,win,5,9,1.0,False,5,0,1.0,0,12,0,1.0,0,2026-08-19T20:52:09.567881+00:00,81.051,,
google/gemini-2.5-flash,strong_hebrew,openai/gpt-4o-mini,0,dual_0,0,ok,,loss,4,7,0.7777777777777778,True,4,0,1.0,0,9,0,1.0,0,2026-08-19T20:54:30.254310+00:00,52.176,,
google/gemini-2.5-flash,strong_hebrew,qwen/qwen3.5-9b,0,dual_0,0,ok,,win,20,9,1.0,False,20,0,1.0,0,41,14,0.6585365853658537,1,2026-08-19T20:56:12.996690+00:00,282.402,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,google/gemini-2.5-flash,0,dual_0,0,ok,,win,9,9,1.0,False,9,0,1.0,0,17,0,1.0,0,2026-08-19T20:56:54.760025+00:00,123.759,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,meta-llama/llama-3.3-70b-instruct,0,dual_0,0,ok,,win,8,9,1.0,False,8,0,1.0,0,16,1,0.9375,0,2026-08-19T20:51:57.114353+00:00,149.106,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,openai/gpt-4o-mini,0,dual_0,0,ok,,loss,5,5,0.5555555555555556,True,5,0,1.0,0,10,0,1.0,0,2026-08-19T20:53:12.155996+00:00,78.483,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,qwen/qwen3.5-9b,0,dual_0,0,ok,,loss,10,7,0.7777777777777778,True,10,0,1.0,0,19,2,0.8947368421052632,0,2026-08-19T20:54:30.639069+00:00,168.983,,
openai/gpt-4o-mini,strong_hebrew,google/gemini-2.5-flash,0,dual_0,0,ok,,loss,3,2,0.2222222222222222,True,5,2,0.6,0,5,0,1.0,0,2026-08-19T20:55:22.430377+00:00,34.854,,
openai/gpt-4o-mini,strong_hebrew,meta-llama/llama-3.3-70b-instruct,0,dual_0,0,ok,,loss,1,0,0.0,True,1,0,1.0,0,1,0,1.0,0,2026-08-19T20:57:19.622224+00:00,10.531,,
openai/gpt-4o-mini,strong_hebrew,openai/gpt-4o-mini,0,dual_0,0,ok,,loss,1,1,0.1111111111111111,True,1,0,1.0,0,2,0,1.0,0,2026-08-19T20:51:57.114531+00:00,12.453,,
openai/gpt-4o-mini,strong_hebrew,qwen/qwen3.5-9b,0,dual_0,0,ok,,loss,4,3,0.3333333333333333,True,5,1,0.8,0,7,0,1.0,0,2026-08-19T20:53:30.619089+00:00,59.633,,
qwen/qwen3.5-9b,strong_hebrew,google/gemini-2.5-flash,0,dual_0,0,ok,,loss,9,7,0.7777777777777778,True,19,10,0.47368421052631576,0,15,0,1.0,0,2026-08-19T20:54:26.220608+00:00,224.543,,
qwen/qwen3.5-9b,strong_hebrew,meta-llama/llama-3.3-70b-instruct,0,dual_0,0,ok,,loss,4,5,0.5555555555555556,True,4,0,1.0,0,8,0,1.0,0,2026-08-19T20:55:57.284128+00:00,57.476,,
qwen/qwen3.5-9b,strong_hebrew,openai/gpt-4o-mini,0,dual_0,0,ok,,loss,3,3,0.3333333333333333,True,6,3,0.5,0,6,0,1.0,0,2026-08-19T20:57:30.153239+00:00,76.751,,
qwen/qwen3.5-9b,strong_hebrew,qwen/qwen3.5-9b,0,dual_0,0,ok,,loss,8,2,0.2222222222222222,True,21,13,0.38095238095238093,0,15,5,0.6666666666666666,0,2026-08-19T20:51:57.114654+00:00,255.882,,
